scaffold,coverage
NODE_128_length_3588_cov_2.345316,2.96765995
NODE_129_length_3564_cov_3.477629,4.401537418
NODE_130_length_3547_cov_2.256586,2.87127614
NODE_131_length_3538_cov_2.867643,3.744100332
NODE_132_length_3536_cov_2.896294,3.896309853
NODE_133_length_3528_cov_2.339764,3.022928953
NODE_134_length_3520_cov_2.853680,3.671736002
NODE_135_length_3519_cov_2.849596,3.71078968
NODE_136_length_3499_cov_2.603659,3.483774662
NODE_137_length_3488_cov_3.368774,4.207335472
NODE_138_length_3483_cov_2.592765,3.432695866
NODE_139_length_3478_cov_2.577271,3.17680192
NODE_140_length_3460_cov_2.470778,3.118957758
NODE_141_length_3450_cov_2.598527,3.456060648
NODE_142_length_3445_cov_2.739528,3.552521706
NODE_143_length_3443_cov_3.021842,3.97798872
NODE_144_length_3427_cov_2.134045,2.804422379
NODE_145_length_3425_cov_2.561128,3.394505978
NODE_146_length_3424_cov_2.803503,3.567939043
NODE_147_length_3415_cov_2.653274,3.510524273
NODE_148_length_3413_cov_3.464562,4.536575794
NODE_149_length_3396_cov_3.818617,4.905311584
NODE_150_length_3392_cov_3.042254,3.837702274
NODE_151_length_3383_cov_2.373798,2.971008778
NODE_152_length_3380_cov_2.703459,3.485294104
NODE_153_length_3342_cov_2.559477,3.314017296
NODE_154_length_3328_cov_3.007027,3.916273594
NODE_155_length_3283_cov_2.592007,3.422417164
NODE_156_length_3282_cov_3.007127,3.886272907
NODE_157_length_3266_cov_1.985363,2.611868382
NODE_158_length_3263_cov_3.394638,4.407065392
NODE_159_length_3263_cov_2.754364,3.588920116
NODE_160_length_3263_cov_2.544576,3.200722694
NODE_161_length_3239_cov_2.644472,3.427416086
NODE_162_length_3223_cov_2.862689,3.723871469
NODE_163_length_3216_cov_2.112306,2.654849291
NODE_164_length_3212_cov_2.710485,3.404489756
NODE_165_length_3198_cov_3.178810,3.60942626
NODE_166_length_3198_cov_3.129494,4.161065578
NODE_167_length_3188_cov_2.059049,2.613486767
NODE_168_length_3187_cov_2.547254,3.361168146
NODE_169_length_3153_cov_2.719819,3.563878536
NODE_170_length_3150_cov_2.252342,3.061666727
NODE_171_length_3131_cov_3.232770,4.207128048
NODE_172_length_3125_cov_3.005212,3.828223467
NODE_173_length_3113_cov_2.544474,3.141290665
NODE_174_length_3112_cov_3.465489,4.442615986
NODE_175_length_3110_cov_2.819967,3.529138565
NODE_176_length_3110_cov_2.478232,3.220861435
NODE_177_length_3105_cov_2.723607,3.684989452
NODE_178_length_3104_cov_3.070187,3.658629417
NODE_179_length_3103_cov_2.519685,3.194667816
NODE_180_length_3096_cov_2.967116,3.556827784
NODE_181_length_3087_cov_2.462401,3.150574207
NODE_182_length_3078_cov_3.079391,4.086177349
NODE_183_length_3075_cov_3.797351,4.865442276
NODE_184_length_3075_cov_3.058278,3.970098257
NODE_185_length_3074_cov_3.088109,3.964102507
NODE_186_length_3073_cov_2.688867,3.434801102
